"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1","1: Meneer","3.1",1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,"4.037728319","0.261222269",1.77777777777778
"2","2: Kuisters","3.1",1,7,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,4,"4.356024362","0.621226069",1.81481481481481
"3","3: van","3.1",1,5,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,"4.977250431","0.127318417",1.7037037037037
"4","4: de","3.1",1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,1,2,2,2,2,"5.104568848","0.076830079",1.55555555555556
"5","5: viswinkel","3.1",1,6,1,1,2,2,1,1,1,1,2,2,4,1,1,1,2,2,1,2,3,1,1,3,2,2,2,"5.181398928","0.698056149",1.81481481481481
"6","6: waar","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,"6.338240407","0.118537837",1.66666666666667
"7","7: ik","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.456778243","0.103171821",1.62962962962963
"8","8: af","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,3,3,3,1,2,2,1,1,2,2,3,1,"6.559950064","0.151465013",1.66666666666667
"9","9: en","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.711415077","0.100976676",1.62962962962963
"10","10: toe","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,1,"6.812391753","0.109757256",1.62962962962963
"11","11: vrijdagsmiddags","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,5,3,3,1,2,2,1,1,2,2,3,2,"6.922149009","0.800119197",1.77777777777778
"12","12: na","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,1,2,2,1,1,2,2,3,2,"7.722268206","0.212929077",1.66666666666667
"13","13: school","3.1",1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,4,3,3,1,2,2,1,1,1,2,3,2,"7.935197283","0.27439314",1.7037037037037
"14","14: gesneden","3.1",1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,3,3,4,1,2,5,1,1,1,2,3,2,"8.209590423","0.505230944",2.03703703703704
"15","15: zalm","3.1",1,5,1,2,2,2,1,1,1,1,2,2,4,1,1,2,3,4,1,2,5,1,1,2,2,3,2,"8.714821367","0.357808655",2.03703703703704
